                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5524,                 1.2447,                 1.1472,                0.93862,                0.88518,                0.95423,                0.57888,                0.83932,                  0.853,                0.59475,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.4426,                0.85137,                 1.0912,                0.94983,                0.91274,                0.96416,                0.62655,                0.77152,                 1.1583,                0.59192,              0.0062262,              0.0062262,              0.0062262
                      3,                 1.4927,                0.91414,                 1.1341,                0.94064,                0.93048,                0.96438,                0.63732,                0.76398,                 1.5249,                 0.5926,              0.0086795,              0.0086795,              0.0086795
                      4,                  1.421,                0.84644,                 1.1145,                0.96316,                0.95094,                0.97843,                0.68331,                0.69708,                 1.0871,                0.57096,                0.00802,                0.00802,                0.00802
                      5,                 1.2856,                 0.7194,                  1.054,                0.96716,                0.96289,                0.98124,                0.71224,                0.64647,                0.93786,                0.54903,                0.00736,                0.00736,                0.00736
                      6,                 1.2453,                0.67025,                 1.0615,                0.96957,                0.96422,                0.98366,                0.72571,                0.62576,                0.79803,                0.54483,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.1796,                0.61806,                 1.0318,                0.97292,                0.96797,                0.98522,                0.73884,                0.60829,                0.67813,                0.54081,                0.00604,                0.00604,                0.00604
                      8,                 1.1238,                0.57919,                 1.0067,                0.97495,                0.96902,                0.98661,                0.74868,                 0.5936,                0.58389,                0.53418,                0.00538,                0.00538,                0.00538
                      9,                 1.0694,                0.54109,                0.98387,                0.97739,                0.97084,                 0.9873,                 0.7555,                 0.5819,                0.54269,                0.52939,                0.00472,                0.00472,                0.00472
                     10,                 1.0266,                0.51342,                0.96522,                0.97693,                0.97236,                0.98798,                0.76173,                0.57173,                0.50621,                0.52592,                0.00406,                0.00406,                0.00406
                     11,                0.97952,                0.48284,                0.94822,                0.97796,                0.97346,                0.98853,                0.76766,                0.56265,                0.48991,                 0.5231,                 0.0034,                 0.0034,                 0.0034
                     12,                0.93336,                0.45585,                 0.9316,                0.97839,                0.97395,                0.98895,                0.77254,                0.55429,                0.46704,                 0.5205,                0.00274,                0.00274,                0.00274
                     13,                 0.8828,                0.42432,                0.91502,                0.98019,                0.97416,                0.98954,                0.77741,                0.54573,                0.44367,                0.51786,                0.00208,                0.00208,                0.00208
                     14,                0.83444,                0.39818,                0.90242,                0.98066,                 0.9749,                0.98999,                 0.7831,                0.53702,                0.42267,                0.51511,                0.00142,                0.00142,                0.00142
                     15,                0.78258,                0.36977,                0.88501,                 0.9818,                0.97534,                0.99051,                0.78876,                0.52832,                0.39822,                0.51252,                0.00076,                0.00076,                0.00076
